job_index,block_id,route,family,split,evaluation_seed,traffic_manager_seed,arm,order_position,job_id
27,block-0009,Generalization_PedestrianOtherBlocker_1070,PedestrianOtherBlocker_070,Generalization,3,30070,temporal,1,Generalization_PedestrianOtherBlocker_1070__s3__temporal
28,block-0009,Generalization_PedestrianOtherBlocker_1070,PedestrianOtherBlocker_070,Generalization,3,30070,current_frame,2,Generalization_PedestrianOtherBlocker_1070__s3__current_frame
29,block-0009,Generalization_PedestrianOtherBlocker_1070,PedestrianOtherBlocker_070,Generalization,3,30070,baseline,3,Generalization_PedestrianOtherBlocker_1070__s3__baseline
30,block-0010,Generalization_PassableObstacles_1062,PassableObstacles_062,Generalization,2,20062,baseline,1,Generalization_PassableObstacles_1062__s2__baseline
31,block-0010,Generalization_PassableObstacles_1062,PassableObstacles_062,Generalization,2,20062,current_frame,2,Generalization_PassableObstacles_1062__s2__current_frame
32,block-0010,Generalization_PassableObstacles_1062,PassableObstacles_062,Generalization,2,20062,temporal,3,Generalization_PassableObstacles_1062__s2__temporal
33,block-0011,Base_BadParking_0002,BadParking_002,Base,3,30002,temporal,1,Base_BadParking_0002__s3__temporal
34,block-0011,Base_BadParking_0002,BadParking_002,Base,3,30002,baseline,2,Base_BadParking_0002__s3__baseline
35,block-0011,Base_BadParking_0002,BadParking_002,Base,3,30002,current_frame,3,Base_BadParking_0002__s3__current_frame
36,block-0012,Generalization_HardBrake_1038,HardBrake_038,Generalization,2,20038,current_frame,1,Generalization_HardBrake_1038__s2__current_frame
37,block-0012,Generalization_HardBrake_1038,HardBrake_038,Generalization,2,20038,temporal,2,Generalization_HardBrake_1038__s2__temporal
38,block-0012,Generalization_HardBrake_1038,HardBrake_038,Generalization,2,20038,baseline,3,Generalization_HardBrake_1038__s2__baseline
39,block-0013,Generalization_HardBrake_1039,HardBrake_039,Generalization,3,30039,baseline,1,Generalization_HardBrake_1039__s3__baseline
40,block-0013,Generalization_HardBrake_1039,HardBrake_039,Generalization,3,30039,current_frame,2,Generalization_HardBrake_1039__s3__current_frame
41,block-0013,Generalization_HardBrake_1039,HardBrake_039,Generalization,3,30039,temporal,3,Generalization_HardBrake_1039__s3__temporal
42,block-0014,Base_ConstructionPedestrian_0011,ConstructionPedestrian_011,Base,2,20011,current_frame,1,Base_ConstructionPedestrian_0011__s2__current_frame
43,block-0014,Base_ConstructionPedestrian_0011,ConstructionPedestrian_011,Base,2,20011,temporal,2,Base_ConstructionPedestrian_0011__s2__temporal
44,block-0014,Base_ConstructionPedestrian_0011,ConstructionPedestrian_011,Base,2,20011,baseline,3,Base_ConstructionPedestrian_0011__s2__baseline
45,block-0015,Generalization_PedestrianCrowd_1069,PedestrianCrowd_069,Generalization,3,30069,current_frame,1,Generalization_PedestrianCrowd_1069__s3__current_frame
46,block-0015,Generalization_PedestrianCrowd_1069,PedestrianCrowd_069,Generalization,3,30069,baseline,2,Generalization_PedestrianCrowd_1069__s3__baseline
47,block-0015,Generalization_PedestrianCrowd_1069,PedestrianCrowd_069,Generalization,3,30069,temporal,3,Generalization_PedestrianCrowd_1069__s3__temporal
48,block-0016,Base_OppositeConstruction_0054,OppositeConstruction_054,Base,3,30054,baseline,1,Base_OppositeConstruction_0054__s3__baseline
49,block-0016,Base_OppositeConstruction_0054,OppositeConstruction_054,Base,3,30054,current_frame,2,Base_OppositeConstruction_0054__s3__current_frame
50,block-0016,Base_OppositeConstruction_0054,OppositeConstruction_054,Base,3,30054,temporal,3,Base_OppositeConstruction_0054__s3__temporal
51,block-0017,Base_PedestriansOnRoad_0088,PedestriansOnRoad_088,Base,3,30088,temporal,1,Base_PedestriansOnRoad_0088__s3__temporal
52,block-0017,Base_PedestriansOnRoad_0088,PedestriansOnRoad_088,Base,3,30088,baseline,2,Base_PedestriansOnRoad_0088__s3__baseline
53,block-0017,Base_PedestriansOnRoad_0088,PedestriansOnRoad_088,Base,3,30088,current_frame,3,Base_PedestriansOnRoad_0088__s3__current_frame
54,block-0018,Base_RightOfWay_0058,RightOfWay_058,Base,1,10058,current_frame,1,Base_RightOfWay_0058__s1__current_frame
55,block-0018,Base_RightOfWay_0058,RightOfWay_058,Base,1,10058,temporal,2,Base_RightOfWay_0058__s1__temporal
56,block-0018,Base_RightOfWay_0058,RightOfWay_058,Base,1,10058,baseline,3,Base_RightOfWay_0058__s1__baseline
57,block-0019,Generalization_CustomObstacles_1022,CustomObstacles_022,Generalization,1,10022,baseline,1,Generalization_CustomObstacles_1022__s1__baseline
58,block-0019,Generalization_CustomObstacles_1022,CustomObstacles_022,Generalization,1,10022,current_frame,2,Generalization_CustomObstacles_1022__s1__current_frame
59,block-0019,Generalization_CustomObstacles_1022,CustomObstacles_022,Generalization,1,10022,temporal,3,Generalization_CustomObstacles_1022__s1__temporal
60,block-0020,Generalization_PedestrianCrowd_1068,PedestrianCrowd_068,Generalization,1,10068,baseline,1,Generalization_PedestrianCrowd_1068__s1__baseline
61,block-0020,Generalization_PedestrianCrowd_1068,PedestrianCrowd_068,Generalization,1,10068,temporal,2,Generalization_PedestrianCrowd_1068__s1__temporal
62,block-0020,Generalization_PedestrianCrowd_1068,PedestrianCrowd_068,Generalization,1,10068,current_frame,3,Generalization_PedestrianCrowd_1068__s1__current_frame
63,block-0021,Generalization_PedestrianOtherBlocker_1073,PedestrianOtherBlocker_073,Generalization,2,20073,baseline,1,Generalization_PedestrianOtherBlocker_1073__s2__baseline
64,block-0021,Generalization_PedestrianOtherBlocker_1073,PedestrianOtherBlocker_073,Generalization,2,20073,current_frame,2,Generalization_PedestrianOtherBlocker_1073__s2__current_frame
65,block-0021,Generalization_PedestrianOtherBlocker_1073,PedestrianOtherBlocker_073,Generalization,2,20073,temporal,3,Generalization_PedestrianOtherBlocker_1073__s2__temporal
66,block-0022,Generalization_Wall_1095,Wall_095,Generalization,3,30095,baseline,1,Generalization_Wall_1095__s3__baseline
67,block-0022,Generalization_Wall_1095,Wall_095,Generalization,3,30095,temporal,2,Generalization_Wall_1095__s3__temporal
68,block-0022,Generalization_Wall_1095,Wall_095,Generalization,3,30095,current_frame,3,Generalization_Wall_1095__s3__current_frame
69,block-0023,Generalization_Animals_1079,Animals_079,Generalization,1,10079,baseline,1,Generalization_Animals_1079__s1__baseline
70,block-0023,Generalization_Animals_1079,Animals_079,Generalization,1,10079,temporal,2,Generalization_Animals_1079__s1__temporal
71,block-0023,Generalization_Animals_1079,Animals_079,Generalization,1,10079,current_frame,3,Generalization_Animals_1079__s1__current_frame
72,block-0024,Base_ObscuredStop_0046,ObscuredStop_046,Base,3,30046,current_frame,1,Base_ObscuredStop_0046__s3__current_frame
73,block-0024,Base_ObscuredStop_0046,ObscuredStop_046,Base,3,30046,temporal,2,Base_ObscuredStop_0046__s3__temporal
74,block-0024,Base_ObscuredStop_0046,ObscuredStop_046,Base,3,30046,baseline,3,Base_ObscuredStop_0046__s3__baseline
75,block-0025,Generalization_OppositeConstruction_1051,OppositeConstruction_051,Generalization,3,30051,current_frame,1,Generalization_OppositeConstruction_1051__s3__current_frame
76,block-0025,Generalization_OppositeConstruction_1051,OppositeConstruction_051,Generalization,3,30051,baseline,2,Generalization_OppositeConstruction_1051__s3__baseline
77,block-0025,Generalization_OppositeConstruction_1051,OppositeConstruction_051,Generalization,3,30051,temporal,3,Generalization_OppositeConstruction_1051__s3__temporal
78,block-0026,Base_Wall_0096,Wall_096,Base,1,10096,current_frame,1,Base_Wall_0096__s1__current_frame
79,block-0026,Base_Wall_0096,Wall_096,Base,1,10096,baseline,2,Base_Wall_0096__s1__baseline
80,block-0026,Base_Wall_0096,Wall_096,Base,1,10096,temporal,3,Base_Wall_0096__s1__temporal
81,block-0027,Generalization_HardBrake_1035,HardBrake_035,Generalization,3,30035,baseline,1,Generalization_HardBrake_1035__s3__baseline
82,block-0027,Generalization_HardBrake_1035,HardBrake_035,Generalization,3,30035,current_frame,2,Generalization_HardBrake_1035__s3__current_frame
83,block-0027,Generalization_HardBrake_1035,HardBrake_035,Generalization,3,30035,temporal,3,Generalization_HardBrake_1035__s3__temporal
84,block-0028,Generalization_Wall_1095,Wall_095,Generalization,2,20095,baseline,1,Generalization_Wall_1095__s2__baseline
85,block-0028,Generalization_Wall_1095,Wall_095,Generalization,2,20095,temporal,2,Generalization_Wall_1095__s2__temporal
86,block-0028,Generalization_Wall_1095,Wall_095,Generalization,2,20095,current_frame,3,Generalization_Wall_1095__s2__current_frame
87,block-0029,Generalization_BadParking_1007,BadParking_007,Generalization,3,30007,current_frame,1,Generalization_BadParking_1007__s3__current_frame
88,block-0029,Generalization_BadParking_1007,BadParking_007,Generalization,3,30007,temporal,2,Generalization_BadParking_1007__s3__temporal
89,block-0029,Generalization_BadParking_1007,BadParking_007,Generalization,3,30007,baseline,3,Generalization_BadParking_1007__s3__baseline
90,block-0030,Generalization_CustomObstacles_1026,CustomObstacles_026,Generalization,2,20026,current_frame,1,Generalization_CustomObstacles_1026__s2__current_frame
91,block-0030,Generalization_CustomObstacles_1026,CustomObstacles_026,Generalization,2,20026,temporal,2,Generalization_CustomObstacles_1026__s2__temporal
92,block-0030,Generalization_CustomObstacles_1026,CustomObstacles_026,Generalization,2,20026,baseline,3,Generalization_CustomObstacles_1026__s2__baseline
93,block-0031,Base_PedestriansOnRoad_0089,PedestriansOnRoad_089,Base,3,30089,current_frame,1,Base_PedestriansOnRoad_0089__s3__current_frame
94,block-0031,Base_PedestriansOnRoad_0089,PedestriansOnRoad_089,Base,3,30089,baseline,2,Base_PedestriansOnRoad_0089__s3__baseline
95,block-0031,Base_PedestriansOnRoad_0089,PedestriansOnRoad_089,Base,3,30089,temporal,3,Base_PedestriansOnRoad_0089__s3__temporal
96,block-0032,Base_BadParking_0003,BadParking_003,Base,3,30003,temporal,1,Base_BadParking_0003__s3__temporal
97,block-0032,Base_BadParking_0003,BadParking_003,Base,3,30003,baseline,2,Base_BadParking_0003__s3__baseline
98,block-0032,Base_BadParking_0003,BadParking_003,Base,3,30003,current_frame,3,Base_BadParking_0003__s3__current_frame
99,block-0033,Generalization_PedestrianOtherBlocker_1074,PedestrianOtherBlocker_074,Generalization,2,20074,temporal,1,Generalization_PedestrianOtherBlocker_1074__s2__temporal
100,block-0033,Generalization_PedestrianOtherBlocker_1074,PedestrianOtherBlocker_074,Generalization,2,20074,current_frame,2,Generalization_PedestrianOtherBlocker_1074__s2__current_frame
101,block-0033,Generalization_PedestrianOtherBlocker_1074,PedestrianOtherBlocker_074,Generalization,2,20074,baseline,3,Generalization_PedestrianOtherBlocker_1074__s2__baseline
102,block-0034,Generalization_ConstructionPedestrian_1010,ConstructionPedestrian_010,Generalization,3,30010,temporal,1,Generalization_ConstructionPedestrian_1010__s3__temporal
103,block-0034,Generalization_ConstructionPedestrian_1010,ConstructionPedestrian_010,Generalization,3,30010,current_frame,2,Generalization_ConstructionPedestrian_1010__s3__current_frame
104,block-0034,Generalization_ConstructionPedestrian_1010,ConstructionPedestrian_010,Generalization,3,30010,baseline,3,Generalization_ConstructionPedestrian_1010__s3__baseline
105,block-0035,Generalization_Animals_1084,Animals_084,Generalization,3,30084,baseline,1,Generalization_Animals_1084__s3__baseline
106,block-0035,Generalization_Animals_1084,Animals_084,Generalization,3,30084,current_frame,2,Generalization_Animals_1084__s3__current_frame
107,block-0035,Generalization_Animals_1084,Animals_084,Generalization,3,30084,temporal,3,Generalization_Animals_1084__s3__temporal
108,block-0036,Generalization_RightConstruction_1091,RightConstruction_091,Generalization,1,10091,baseline,1,Generalization_RightConstruction_1091__s1__baseline
109,block-0036,Generalization_RightConstruction_1091,RightConstruction_091,Generalization,1,10091,temporal,2,Generalization_RightConstruction_1091__s1__temporal
110,block-0036,Generalization_RightConstruction_1091,RightConstruction_091,Generalization,1,10091,current_frame,3,Generalization_RightConstruction_1091__s1__current_frame
111,block-0037,Base_ImageOnObject_0043,ImageOnObject_043,Base,2,20043,baseline,1,Base_ImageOnObject_0043__s2__baseline
112,block-0037,Base_ImageOnObject_0043,ImageOnObject_043,Base,2,20043,temporal,2,Base_ImageOnObject_0043__s2__temporal
113,block-0037,Base_ImageOnObject_0043,ImageOnObject_043,Base,2,20043,current_frame,3,Base_ImageOnObject_0043__s2__current_frame
114,block-0038,Base_ConstructionPedestrian_0011,ConstructionPedestrian_011,Base,3,30011,temporal,1,Base_ConstructionPedestrian_0011__s3__temporal
115,block-0038,Base_ConstructionPedestrian_0011,ConstructionPedestrian_011,Base,3,30011,baseline,2,Base_ConstructionPedestrian_0011__s3__baseline
116,block-0038,Base_ConstructionPedestrian_0011,ConstructionPedestrian_011,Base,3,30011,current_frame,3,Base_ConstructionPedestrian_0011__s3__current_frame
117,block-0039,Generalization_Animals_1084,Animals_084,Generalization,1,10084,temporal,1,Generalization_Animals_1084__s1__temporal
118,block-0039,Generalization_Animals_1084,Animals_084,Generalization,1,10084,baseline,2,Generalization_Animals_1084__s1__baseline
119,block-0039,Generalization_Animals_1084,Animals_084,Generalization,1,10084,current_frame,3,Generalization_Animals_1084__s1__current_frame
120,block-0040,Generalization_RightConstruction_1093,RightConstruction_093,Generalization,1,10093,baseline,1,Generalization_RightConstruction_1093__s1__baseline
121,block-0040,Generalization_RightConstruction_1093,RightConstruction_093,Generalization,1,10093,current_frame,2,Generalization_RightConstruction_1093__s1__current_frame
122,block-0040,Generalization_RightConstruction_1093,RightConstruction_093,Generalization,1,10093,temporal,3,Generalization_RightConstruction_1093__s1__temporal
123,block-0041,Base_FullyBlocked_0031,FullyBlocked_031,Base,1,10031,current_frame,1,Base_FullyBlocked_0031__s1__current_frame
124,block-0041,Base_FullyBlocked_0031,FullyBlocked_031,Base,1,10031,temporal,2,Base_FullyBlocked_0031__s1__temporal
125,block-0041,Base_FullyBlocked_0031,FullyBlocked_031,Base,1,10031,baseline,3,Base_FullyBlocked_0031__s1__baseline
126,block-0042,Base_ConstructionPedestrian_0013,ConstructionPedestrian_013,Base,3,30013,baseline,1,Base_ConstructionPedestrian_0013__s3__baseline
127,block-0042,Base_ConstructionPedestrian_0013,ConstructionPedestrian_013,Base,3,30013,current_frame,2,Base_ConstructionPedestrian_0013__s3__current_frame
128,block-0042,Base_ConstructionPedestrian_0013,ConstructionPedestrian_013,Base,3,30013,temporal,3,Base_ConstructionPedestrian_0013__s3__temporal
129,block-0043,Generalization_BadParking_1006,BadParking_006,Generalization,2,20006,current_frame,1,Generalization_BadParking_1006__s2__current_frame
130,block-0043,Generalization_BadParking_1006,BadParking_006,Generalization,2,20006,temporal,2,Generalization_BadParking_1006__s2__temporal
131,block-0043,Generalization_BadParking_1006,BadParking_006,Generalization,2,20006,baseline,3,Generalization_BadParking_1006__s2__baseline
132,block-0044,Generalization_ImageOnObject_1042,ImageOnObject_042,Generalization,3,30042,current_frame,1,Generalization_ImageOnObject_1042__s3__current_frame
133,block-0044,Generalization_ImageOnObject_1042,ImageOnObject_042,Generalization,3,30042,baseline,2,Generalization_ImageOnObject_1042__s3__baseline
134,block-0044,Generalization_ImageOnObject_1042,ImageOnObject_042,Generalization,3,30042,temporal,3,Generalization_ImageOnObject_1042__s3__temporal
135,block-0045,Base_ConstructionPermutations_0018,ConstructionPermutations_018,Base,2,20018,temporal,1,Base_ConstructionPermutations_0018__s2__temporal
136,block-0045,Base_ConstructionPermutations_0018,ConstructionPermutations_018,Base,2,20018,baseline,2,Base_ConstructionPermutations_0018__s2__baseline
137,block-0045,Base_ConstructionPermutations_0018,ConstructionPermutations_018,Base,2,20018,current_frame,3,Base_ConstructionPermutations_0018__s2__current_frame
138,block-0046,Base_BadParking_0002,BadParking_002,Base,1,10002,temporal,1,Base_BadParking_0002__s1__temporal
139,block-0046,Base_BadParking_0002,BadParking_002,Base,1,10002,baseline,2,Base_BadParking_0002__s1__baseline
140,block-0046,Base_BadParking_0002,BadParking_002,Base,1,10002,current_frame,3,Base_BadParking_0002__s1__current_frame
141,block-0047,Generalization_RightOfWay_1056,RightOfWay_056,Generalization,2,20056,baseline,1,Generalization_RightOfWay_1056__s2__baseline
142,block-0047,Generalization_RightOfWay_1056,RightOfWay_056,Generalization,2,20056,current_frame,2,Generalization_RightOfWay_1056__s2__current_frame
143,block-0047,Generalization_RightOfWay_1056,RightOfWay_056,Generalization,2,20056,temporal,3,Generalization_RightOfWay_1056__s2__temporal
144,block-0048,Base_ConstructionPermutations_0019,ConstructionPermutations_019,Base,3,30019,temporal,1,Base_ConstructionPermutations_0019__s3__temporal
145,block-0048,Base_ConstructionPermutations_0019,ConstructionPermutations_019,Base,3,30019,current_frame,2,Base_ConstructionPermutations_0019__s3__current_frame
146,block-0048,Base_ConstructionPermutations_0019,ConstructionPermutations_019,Base,3,30019,baseline,3,Base_ConstructionPermutations_0019__s3__baseline
147,block-0049,Base_Animals_0081,Animals_081,Base,3,30081,baseline,1,Base_Animals_0081__s3__baseline
148,block-0049,Base_Animals_0081,Animals_081,Base,3,30081,temporal,2,Base_Animals_0081__s3__temporal
149,block-0049,Base_Animals_0081,Animals_081,Base,3,30081,current_frame,3,Base_Animals_0081__s3__current_frame
150,block-0050,Base_RightOfWay_0059,RightOfWay_059,Base,1,10059,temporal,1,Base_RightOfWay_0059__s1__temporal
151,block-0050,Base_RightOfWay_0059,RightOfWay_059,Base,1,10059,current_frame,2,Base_RightOfWay_0059__s1__current_frame
152,block-0050,Base_RightOfWay_0059,RightOfWay_059,Base,1,10059,baseline,3,Base_RightOfWay_0059__s1__baseline
153,block-0051,Base_BadParking_0009,BadParking_009,Base,1,10009,baseline,1,Base_BadParking_0009__s1__baseline
154,block-0051,Base_BadParking_0009,BadParking_009,Base,1,10009,temporal,2,Base_BadParking_0009__s1__temporal
155,block-0051,Base_BadParking_0009,BadParking_009,Base,1,10009,current_frame,3,Base_BadParking_0009__s1__current_frame
156,block-0052,Base_ObscuredStop_0046,ObscuredStop_046,Base,1,10046,temporal,1,Base_ObscuredStop_0046__s1__temporal
157,block-0052,Base_ObscuredStop_0046,ObscuredStop_046,Base,1,10046,baseline,2,Base_ObscuredStop_0046__s1__baseline
158,block-0052,Base_ObscuredStop_0046,ObscuredStop_046,Base,1,10046,current_frame,3,Base_ObscuredStop_0046__s1__current_frame
159,block-0053,Base_FullyBlocked_0032,FullyBlocked_032,Base,3,30032,temporal,1,Base_FullyBlocked_0032__s3__temporal
160,block-0053,Base_FullyBlocked_0032,FullyBlocked_032,Base,3,30032,baseline,2,Base_FullyBlocked_0032__s3__baseline
161,block-0053,Base_FullyBlocked_0032,FullyBlocked_032,Base,3,30032,current_frame,3,Base_FullyBlocked_0032__s3__current_frame
162,block-0054,Generalization_RightConstruction_1093,RightConstruction_093,Generalization,2,20093,baseline,1,Generalization_RightConstruction_1093__s2__baseline
163,block-0054,Generalization_RightConstruction_1093,RightConstruction_093,Generalization,2,20093,temporal,2,Generalization_RightConstruction_1093__s2__temporal
164,block-0054,Generalization_RightConstruction_1093,RightConstruction_093,Generalization,2,20093,current_frame,3,Generalization_RightConstruction_1093__s2__current_frame
165,block-0055,Generalization_BadParking_1002,BadParking_002,Generalization,3,30002,current_frame,1,Generalization_BadParking_1002__s3__current_frame
166,block-0055,Generalization_BadParking_1002,BadParking_002,Generalization,3,30002,temporal,2,Generalization_BadParking_1002__s3__temporal
167,block-0055,Generalization_BadParking_1002,BadParking_002,Generalization,3,30002,baseline,3,Generalization_BadParking_1002__s3__baseline
168,block-0056,Base_PedestrianOtherBlocker_0071,PedestrianOtherBlocker_071,Base,1,10071,baseline,1,Base_PedestrianOtherBlocker_0071__s1__baseline
169,block-0056,Base_PedestrianOtherBlocker_0071,PedestrianOtherBlocker_071,Base,1,10071,temporal,2,Base_PedestrianOtherBlocker_0071__s1__temporal
170,block-0056,Base_PedestrianOtherBlocker_0071,PedestrianOtherBlocker_071,Base,1,10071,current_frame,3,Base_PedestrianOtherBlocker_0071__s1__current_frame
171,block-0057,Base_CustomObstacles_0025,CustomObstacles_025,Base,3,30025,baseline,1,Base_CustomObstacles_0025__s3__baseline
172,block-0057,Base_CustomObstacles_0025,CustomObstacles_025,Base,3,30025,current_frame,2,Base_CustomObstacles_0025__s3__current_frame
173,block-0057,Base_CustomObstacles_0025,CustomObstacles_025,Base,3,30025,temporal,3,Base_CustomObstacles_0025__s3__temporal
174,block-0058,Generalization_RightOfWay_1059,RightOfWay_059,Generalization,1,10059,current_frame,1,Generalization_RightOfWay_1059__s1__current_frame
175,block-0058,Generalization_RightOfWay_1059,RightOfWay_059,Generalization,1,10059,baseline,2,Generalization_RightOfWay_1059__s1__baseline
176,block-0058,Generalization_RightOfWay_1059,RightOfWay_059,Generalization,1,10059,temporal,3,Generalization_RightOfWay_1059__s1__temporal
177,block-0059,Generalization_ConstructionPedestrian_1014,ConstructionPedestrian_014,Generalization,1,10014,current_frame,1,Generalization_ConstructionPedestrian_1014__s1__current_frame
178,block-0059,Generalization_ConstructionPedestrian_1014,ConstructionPedestrian_014,Generalization,1,10014,temporal,2,Generalization_ConstructionPedestrian_1014__s1__temporal
179,block-0059,Generalization_ConstructionPedestrian_1014,ConstructionPedestrian_014,Generalization,1,10014,baseline,3,Generalization_ConstructionPedestrian_1014__s1__baseline
180,block-0060,Generalization_PedestrianOtherBlocker_1072,PedestrianOtherBlocker_072,Generalization,2,20072,baseline,1,Generalization_PedestrianOtherBlocker_1072__s2__baseline
181,block-0060,Generalization_PedestrianOtherBlocker_1072,PedestrianOtherBlocker_072,Generalization,2,20072,temporal,2,Generalization_PedestrianOtherBlocker_1072__s2__temporal
182,block-0060,Generalization_PedestrianOtherBlocker_1072,PedestrianOtherBlocker_072,Generalization,2,20072,current_frame,3,Generalization_PedestrianOtherBlocker_1072__s2__current_frame
183,block-0061,Generalization_BadParking_1007,BadParking_007,Generalization,1,10007,temporal,1,Generalization_BadParking_1007__s1__temporal
184,block-0061,Generalization_BadParking_1007,BadParking_007,Generalization,1,10007,baseline,2,Generalization_BadParking_1007__s1__baseline
185,block-0061,Generalization_BadParking_1007,BadParking_007,Generalization,1,10007,current_frame,3,Generalization_BadParking_1007__s1__current_frame
186,block-0062,Generalization_OppositeConstruction_1054,OppositeConstruction_054,Generalization,1,10054,baseline,1,Generalization_OppositeConstruction_1054__s1__baseline
187,block-0062,Generalization_OppositeConstruction_1054,OppositeConstruction_054,Generalization,1,10054,current_frame,2,Generalization_OppositeConstruction_1054__s1__current_frame
188,block-0062,Generalization_OppositeConstruction_1054,OppositeConstruction_054,Generalization,1,10054,temporal,3,Generalization_OppositeConstruction_1054__s1__temporal
189,block-0063,Base_Wall_0097,Wall_097,Base,1,10097,temporal,1,Base_Wall_0097__s1__temporal
190,block-0063,Base_Wall_0097,Wall_097,Base,1,10097,current_frame,2,Base_Wall_0097__s1__current_frame
191,block-0063,Base_Wall_0097,Wall_097,Base,1,10097,baseline,3,Base_Wall_0097__s1__baseline
192,block-0064,Generalization_BadParking_1008,BadParking_008,Generalization,1,10008,temporal,1,Generalization_BadParking_1008__s1__temporal
193,block-0064,Generalization_BadParking_1008,BadParking_008,Generalization,1,10008,baseline,2,Generalization_BadParking_1008__s1__baseline
194,block-0064,Generalization_BadParking_1008,BadParking_008,Generalization,1,10008,current_frame,3,Generalization_BadParking_1008__s1__current_frame
195,block-0065,Base_ConstructionPedestrian_0014,ConstructionPedestrian_014,Base,2,20014,baseline,1,Base_ConstructionPedestrian_0014__s2__baseline
196,block-0065,Base_ConstructionPedestrian_0014,ConstructionPedestrian_014,Base,2,20014,temporal,2,Base_ConstructionPedestrian_0014__s2__temporal
197,block-0065,Base_ConstructionPedestrian_0014,ConstructionPedestrian_014,Base,2,20014,current_frame,3,Base_ConstructionPedestrian_0014__s2__current_frame
198,block-0066,Generalization_PedestrianCrowd_1065,PedestrianCrowd_065,Generalization,3,30065,temporal,1,Generalization_PedestrianCrowd_1065__s3__temporal
199,block-0066,Generalization_PedestrianCrowd_1065,PedestrianCrowd_065,Generalization,3,30065,baseline,2,Generalization_PedestrianCrowd_1065__s3__baseline
200,block-0066,Generalization_PedestrianCrowd_1065,PedestrianCrowd_065,Generalization,3,30065,current_frame,3,Generalization_PedestrianCrowd_1065__s3__current_frame
201,block-0067,Generalization_CustomObstacles_1025,CustomObstacles_025,Generalization,1,10025,baseline,1,Generalization_CustomObstacles_1025__s1__baseline
202,block-0067,Generalization_CustomObstacles_1025,CustomObstacles_025,Generalization,1,10025,current_frame,2,Generalization_CustomObstacles_1025__s1__current_frame
